City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,andros town,24.7,-77.77,84.2,51,40,13.87,BS,1600816352
126,itoman,26.12,127.67,80.6,83,75,5.82,JP,1600816080
127,key west,24.56,-81.78,86.0,62,20,14.99,US,1600816352
128,souillac,-20.52,57.52,68.0,88,20,7.29,MU,1600816310
129,guerrero negro,27.98,-114.06,85.08,39,0,14.79,MX,1600816352
130,zambezi,-13.54,23.1,75.67,22,30,9.62,ZM,1600816352
131,talnakh,69.49,88.4,46.4,100,75,15.66,RU,1600816353
132,ambalavao,-21.83,46.93,57.34,89,41,4.83,MG,1600816353
133,bambous virieux,-20.34,57.76,68.0,88,20,9.1,MU,1600816353
134,sioux lookout,50.1,-91.92,71.6,46,20,6.93,CA,1600816353
135,khatanga,71.97,102.5,45.81,70,70,15.23,RU,1600816354
136,nome,64.5,-165.41,48.2,57,1,12.75,US,1600816267
137,ritchie,-29.04,24.6,64.4,59,0,12.75,ZA,1600816354
138,monte alegre,-2.01,-54.07,85.35,52,54,4.16,BR,1600816354
139,shibetsu,43.66,145.13,58.28,73,15,4.72,JP,1600816354
140,amuntai,-2.42,115.25,74.17,96,100,0.29,ID,1600816354
141,bloemhof,-27.65,25.61,56.57,65,15,11.41,ZA,1600816355
142,iqaluit,63.75,-68.51,33.8,86,90,6.93,CA,1600816146
143,new norfolk,-42.78,147.06,52.0,68,68,3.0,AU,1600816355
144,port elizabeth,-33.92,25.57,48.2,76,0,6.93,ZA,1600816355
145,cabinda,-5.55,12.2,74.46,82,94,7.29,AO,1600816355
146,hovd,48.01,91.64,51.71,46,23,5.99,MN,1600816356
147,puerto ayora,-0.74,-90.35,68.0,84,64,5.99,EC,1600816356
148,road town,18.42,-64.62,82.0,92,100,7.67,VG,1600816356
149,norsup,-16.07,167.38,78.8,78,75,9.17,VU,1600816356
150,katsuura,35.13,140.3,69.8,100,75,11.41,JP,1600816356
151,jalu,29.03,21.55,73.65,42,0,9.93,LY,1600816357
152,sengiley,53.96,48.79,59.0,67,100,13.42,RU,1600816357
153,powell river,49.85,-124.54,62.6,72,75,9.17,CA,1600816357
154,port keats,-14.25,129.55,84.63,69,5,4.32,AU,1600816357
155,sungaipenuh,-2.08,101.38,65.03,85,86,3.0,ID,1600816357
156,pyshchug,58.89,45.71,48.52,92,72,7.47,RU,1600816358
157,zheleznodorozhnyy,55.75,38.0,57.0,87,0,6.71,RU,1600816358
158,maceio,-9.67,-35.74,73.4,88,14,5.82,BR,1600816358
159,tiksi,71.69,128.87,42.67,72,33,19.33,RU,1600816359
160,alofi,-19.06,-169.92,69.8,91,90,5.82,NU,1600816359
161,portel,-1.94,-50.82,82.17,63,60,5.41,BR,1600816359
162,klaksvik,62.23,-6.59,41.0,93,99,4.7,FO,1600816360
163,saint george,37.1,-113.58,93.0,15,1,10.29,US,1600816360
164,moron,-34.65,-58.62,62.01,50,96,7.85,AR,1600816215
165,talcahuano,-36.72,-73.12,57.2,71,78,16.11,CL,1600816360
166,hualmay,-11.1,-77.61,62.58,79,18,7.11,PE,1600816360
167,hihya,30.67,31.59,78.8,74,20,11.41,EG,1600816360
168,tokat,40.42,36.58,47.5,100,6,0.69,TR,1600816360
169,upernavik,72.79,-56.15,27.18,88,72,5.5,GL,1600816359
170,hobyo,5.35,48.53,77.5,82,100,25.03,SO,1600816361
171,torbay,47.67,-52.73,54.0,87,90,16.11,CA,1600816361
172,furano,43.28,142.47,53.6,93,75,1.12,JP,1600816361
173,ushtobe,45.25,77.98,55.65,38,60,4.14,KZ,1600816361
174,porosozero,62.72,32.73,38.7,84,76,5.14,RU,1600816361
175,hermanus,-34.42,19.23,51.01,90,28,8.39,ZA,1600816361
176,mount gambier,-37.83,140.77,48.2,93,75,9.17,AU,1600816325
177,kavieng,-2.57,150.8,84.87,65,100,9.48,PG,1600816362
178,the valley,18.22,-63.06,86.0,74,20,1.12,AI,1600816362
179,chernyshevskiy,63.01,112.47,39.47,95,0,4.12,RU,1600816363
180,praia da vitoria,38.73,-27.07,68.0,82,75,10.56,PT,1600816363
181,imeni poliny osipenko,52.42,136.49,49.06,76,0,1.19,RU,1600816363
182,port-gentil,-0.72,8.78,77.0,88,75,12.86,GA,1600816363
183,mnogovershinnyy,53.94,139.92,48.85,63,0,3.38,RU,1600816363
184,aklavik,68.22,-135.01,42.8,87,75,2.01,CA,1600816364
185,palmer,42.16,-72.33,66.2,24,75,16.11,US,1600816364
186,maniitsoq,65.42,-52.9,33.06,90,41,6.67,GL,1600816364
187,esperance,-33.87,121.9,44.6,100,40,6.93,AU,1600816364
188,balagon,8.01,123.24,75.0,100,92,1.14,PH,1600816364
189,bubaque,11.28,-15.83,81.09,81,0,10.69,GW,1600816364
190,ahipara,-35.17,173.17,62.85,71,20,12.71,NZ,1600816314
191,nishihara,26.18,127.76,80.6,88,40,9.73,JP,1600816365
192,floro,61.6,5.03,57.2,82,100,32.21,NO,1600816365
193,san juan,-31.54,-68.54,72.43,20,0,11.45,AR,1600816365
194,anito,12.45,125.29,80.01,83,98,3.74,PH,1600816365
195,constitucion,-35.33,-72.42,55.0,77,98,11.79,CL,1600816365
196,kozhva,65.11,57.05,41.18,92,100,8.08,RU,1600816366
197,rawah,34.48,41.91,81.09,32,0,9.62,IQ,1600816366
198,aluksne,57.42,27.05,49.03,96,0,5.48,LV,1600816366
199,ajdabiya,30.76,20.23,72.7,55,0,8.14,LY,1600816366
200,aswan,24.09,32.91,89.24,22,0,12.91,EG,1600816367
201,abu zabad,12.35,29.25,77.88,67,64,7.9,SD,1600816367
202,vila franca do campo,37.72,-25.43,66.2,82,20,6.93,PT,1600816367
203,dunedin,-45.87,170.5,61.0,62,46,4.0,NZ,1600816367
204,comodoro rivadavia,-45.87,-67.5,64.4,27,40,17.22,AR,1600816367
205,labuhan,-6.88,112.21,78.28,83,96,9.19,ID,1600816367
206,adrar,20.5,-10.07,95.88,19,16,8.37,MR,1600816368
207,yulara,-25.24,130.99,57.2,41,0,9.17,AU,1600816073
208,tarsus,36.92,34.88,77.0,78,40,2.24,TR,1600816368
209,lincoln,40.8,-96.67,84.0,37,1,12.75,US,1600816368
210,najran,17.49,44.13,80.6,14,89,6.93,SA,1600816368
211,paso de los toros,-32.82,-56.52,52.92,80,99,8.97,UY,1600816369
212,christchurch,-43.53,172.63,71.01,49,14,5.82,NZ,1600816369
213,nanortalik,60.14,-45.24,37.49,76,0,11.3,GL,1600816369
214,nizhniy tsasuchey,50.52,115.13,39.09,80,0,7.47,RU,1600816370
215,sur,22.57,59.53,82.08,41,90,2.17,OM,1600816370
216,ulladulla,-35.35,150.47,64.99,39,20,10.29,AU,1600816371
217,pachino,36.72,15.09,72.0,73,84,3.36,IT,1600816371
218,bandarbeyla,9.49,50.81,78.33,70,98,30.04,SO,1600816372
219,vao,-22.67,167.48,70.29,79,2,12.55,NC,1600816372
220,shache,38.42,77.24,56.1,34,35,6.69,CN,1600816372
221,kitwe,-12.8,28.25,67.26,47,0,9.08,ZM,1600816373
222,batamshinskiy,50.56,58.27,48.2,87,57,6.71,KZ,1600816373
223,georgetown,5.41,100.34,77.0,88,20,7.65,MY,1600816373
224,hambantota,6.12,81.12,79.93,78,93,14.25,LK,1600816373
225,chuy,-33.7,-53.46,49.1,78,39,8.75,UY,1600816374
226,conde,-7.26,-34.91,75.2,88,7,9.17,BR,1600816374
227,wilmington,34.23,-77.94,71.6,40,1,9.17,US,1600816374
228,matamba,-8.98,33.97,54.21,74,37,6.82,TZ,1600816374
229,panama city,8.99,-79.52,78.8,94,40,4.7,PA,1600816107
230,muros,42.78,-9.06,66.0,92,89,20.0,ES,1600816375
231,iquitos,-3.75,-73.25,80.6,78,75,5.82,PE,1600816375
232,waitara,-38.92,174.25,53.01,92,98,8.99,NZ,1600816376
233,markova,48.68,24.41,56.48,61,43,3.87,UA,1600816376
234,kapuskasing,49.42,-82.43,64.4,72,90,8.05,CA,1600816376
235,mackay,-21.15,149.2,77.0,83,75,4.7,AU,1600816376
236,tupelo,34.26,-88.7,72.0,60,90,9.17,US,1600816241
237,caraycayon,13.62,123.48,79.66,84,76,2.01,PH,1600816377
238,luwuk,-0.95,122.79,79.14,77,98,5.03,ID,1600816377
239,haimen,23.19,116.61,77.0,94,75,2.24,CN,1600816377
240,anadyr,64.75,177.48,39.2,80,30,11.18,RU,1600816377
241,rypefjord,70.63,23.67,44.6,70,75,29.97,NO,1600816377
242,tilichiki,60.47,166.1,41.43,66,1,5.44,RU,1600816377
243,kousseri,12.08,15.03,78.8,88,40,3.36,CM,1600816378
244,alexandria,31.22,29.96,78.8,69,40,8.05,EG,1600816378
245,takaka,-40.85,172.8,57.0,92,100,15.99,NZ,1600816378
246,san jeronimo,-11.95,-75.28,57.96,54,20,6.62,PE,1600816378
247,nouadhibou,20.93,-17.03,75.2,83,0,14.99,MR,1600816378
248,asyut,27.18,31.18,78.8,50,0,9.17,EG,1600816379
249,songjianghe,42.19,127.48,50.9,93,23,1.23,CN,1600816379
250,gornopravdinsk,60.05,69.9,37.42,88,78,10.8,RU,1600816379
251,mednogorsk,51.41,57.59,48.02,88,76,14.2,RU,1600816380
252,kidal,18.44,1.41,90.32,32,0,2.3,ML,1600816380
253,haines junction,60.75,-137.51,50.41,56,100,3.38,CA,1600816380
254,erenhot,43.65,111.98,54.55,41,48,5.88,CN,1600816380
255,laguna,38.42,-121.42,91.0,18,1,9.17,US,1600816381
256,charters towers,-20.1,146.27,74.82,66,29,1.14,AU,1600816381
257,kaitangata,-46.28,169.85,55.56,76,73,4.79,NZ,1600816381
258,carndonagh,55.25,-7.27,48.07,83,100,8.23,IE,1600816381
259,mahebourg,-20.41,57.7,68.0,88,20,8.68,MU,1600816381
260,mugur-aksy,50.35,90.5,40.6,67,90,4.54,RU,1600816382
261,lebu,-37.62,-73.65,49.96,76,38,17.69,CL,1600816382
262,port blair,11.67,92.75,81.99,81,100,6.04,IN,1600816382
263,kamina,-8.74,24.99,70.39,62,94,2.75,CD,1600816382
264,cabo san lucas,22.89,-109.91,89.01,70,40,11.41,MX,1600816103
265,leningradskiy,69.38,178.42,40.89,79,99,16.89,RU,1600816383
266,flin flon,54.77,-101.86,59.0,51,40,12.75,CA,1600816383
267,gunjur,13.2,-16.73,82.4,88,75,8.72,GM,1600816383
268,lubango,-14.92,13.49,63.39,55,65,2.68,AO,1600816383
269,tuatapere,-46.13,167.68,57.0,79,35,10.0,NZ,1600816384
270,oloron-sainte-marie,43.19,-0.61,60.8,93,14,4.7,FR,1600816384
271,ancud,-41.87,-73.82,51.01,81,11,1.01,CL,1600816384
272,isangel,-19.55,169.27,80.6,65,40,9.17,VU,1600816384
273,east london,-33.02,27.91,60.26,67,2,6.51,ZA,1600816384
274,norman wells,65.28,-126.83,60.8,38,20,5.82,CA,1600816385
275,biu,10.61,12.19,71.49,81,0,3.2,NG,1600816385
276,shestakovo,56.49,103.96,35.83,88,0,2.39,RU,1600816385
277,beringovskiy,63.05,179.32,44.11,60,22,6.08,RU,1600816386
278,sao raimundo das mangabeiras,-7.02,-45.48,85.06,37,66,3.06,BR,1600816386
279,batemans bay,-35.72,150.18,66.0,62,0,11.01,AU,1600816386
280,sassandra,4.95,-6.08,74.55,90,61,8.3,CI,1600816127
281,rome,34.26,-85.16,71.6,49,1,0.87,US,1600816377
282,eyl,7.98,49.82,77.79,74,93,18.97,SO,1600816386
283,tamandare,-8.76,-35.1,74.55,83,3,8.03,BR,1600816386
284,severo-kurilsk,50.68,156.12,50.45,75,33,10.83,RU,1600816386
285,kloulklubed,7.04,134.26,80.6,88,75,8.52,PW,1600816387
286,biak,-0.91,122.88,78.31,80,99,6.55,ID,1600816387
287,hami,42.8,93.45,60.89,45,0,5.01,CN,1600816387
288,pokhara,28.23,83.98,70.39,86,100,2.53,NP,1600816387
289,pyaozerskiy,65.83,31.17,41.43,68,84,9.69,RU,1600816388
290,muzhi,65.37,64.67,37.96,92,100,13.8,RU,1600816388
291,qaqortoq,60.72,-46.03,30.2,58,5,3.36,GL,1600816334
292,egvekinot,66.32,-179.17,40.66,67,0,1.81,RU,1600816388
293,marzuq,14.4,46.47,78.6,28,66,5.88,YE,1600816388
294,petatlan,17.52,-101.27,89.6,62,75,11.41,MX,1600816389
295,dukat,62.55,155.55,33.76,80,3,2.84,RU,1600816389
296,japura,-0.32,102.35,73.29,96,90,0.92,ID,1600816389
297,san cristobal,7.77,-72.22,89.6,52,40,9.17,VE,1600816390
298,nikolskoye,59.7,30.79,51.01,93,67,4.47,RU,1600816390
299,cidreira,-30.18,-50.21,58.3,72,0,17.54,BR,1600816271
300,arkhangelsk,64.54,40.54,50.0,66,40,15.66,RU,1600816390
301,monte patria,-30.69,-70.95,72.1,31,66,3.58,CL,1600816390
302,kaspiysk,42.88,47.64,60.8,82,20,4.47,RU,1600816390
303,costinesti,43.95,28.63,60.8,72,5,3.36,RO,1600816391
304,poum,-20.23,164.02,72.25,70,0,5.12,NC,1600816391
305,bengkulu,-3.8,102.27,76.3,83,68,6.04,ID,1600816391
